And shall, sir.	I will, sir.
And did they bid you tell her of it, madam?	Did they ask you to tell her about it, madam?
And, but for ceremony, such a wretch, Winding up days with toil and nights with sleep, Had the forehand and vantage of a king.	For a ceremony, a wretch, letting you sleep and sleep, had the vantage of a king.
Am I Dromio?	Am I Dromio?
A man, as you are.	A man, as you are.
A good persuasion.	A good persuasion.
Ah, where’s my man?—Give me some aqua vitae.— These griefs, these woes, these sorrows make me old.	Oh, where is my man?—Give me some aqua vitae.— These griefs, these woes, these sorrows make me old.
And for mine own part, I durst not laugh for fear of opening my lips and receiving the bad air.	For my part, I do not want to laugh for fear of opening my lips and receiving the bad air.
Against my brother Lucius?	Is my brother Lucius against him?
A sovereign shame so elbows him.	He is a sovereign shame.
A dog of that house shall move me to stand.	A dog of that house will move me to stand.
And as our vineyards, fallows, meads, and hedges, Defective in their natures, grow to wildness, Even so our houses and ourselves and children Have lost, or do not learn for want of time, The sciences that should become our country, But grow like savages, as soldiers will	As our vineyards, fallows, meads, and hedges grow to wildness, our houses and ourselves and our children have lost or do not learn for long enough to learn the science that should become our country, but
And, friends, disperse yourselves.	Friends, disperse yourself.
Are you native of this place?	Are you native of this place?
And so adieu, good madam.	Good, madam.
And what art thou that dar’st Appear thus to us?	What are you saying that you will do so?
And come with naked swords.	Come with naked swords.
And therefore, good Grumio, the news.	Good news, Grumio.
A tailor make a man?	A tailor makes a man?
Am I not wise?	Am I not wise?
An he should, it were an alms to hang him.	He should have been hanged.
Antonio, as I heard in Genoa— What, what, what?	Antonio, as I heard in Genoa— What, what, what?
And what noise is this?	What is this noise?
A wreck past hope he was.	He was a wreck past hope.
A man, young lady!	A man, a young lady!
And so am I revenged.—That would be scanned.	I would be sane.
And the queen too, and that presently.	And the queen, and that is now.
And now, good friends, As you are friends, scholars and soldiers, Give me one poor request.	Now, good friends, as you are friends, scholars and soldiers, give me one poor request.
Are you not good?	Are you not good?
And thought they Margaret was Hero?	They thought Margaret was Hero?
An there be any matter of weight chances, call up me.	If there is any matter of weight chances, call me.
Adieu.	Adieu.
And supportable To make the dear loss have I means much weaker Than you may call to comfort you, for I Have lost my daughter.	I am more than happy to make the loss worse than you may call to comfort you, because I have lost my daughter.
And I.	I.
And be assured you’ll find a difference, As we his subjects have in wonder found, Between the promise of his greener days And these he masters now.	You will find a difference, as we have found in wonder, between the promises of his greener days and these he masters now.
Alas, what is the matter?	What is the matter?
A good old commander and a most kind gentleman.	A good old commander and a very kind gentleman.
A laughter.	A laugh.
And a goose for his discretion.	He is a goose for his discretion.
And what said Surrey then?	What was Surrey saying then?
Are they married, think you?	Are they married, think you?
All the better.	All the better.
And, in conclusion, she shall watch all night, And if she chance to nod I’ll rail and brawl, And with the clamor keep her still awake.	I will be able to scream and scream, and keep her awake.
And wished to see thee cross-gartered.” Cross-gartered?	Have you ever been cross-gartered?
And we’ll consign thereto.—Will you, fair sister, Go with the princes or stay here with us?	We will send you there.
And do it with all thy heart.	Do it with all your heart.
Am I in France?	Am I in France?
A horse, a horse, my kingdom for a horse!	A horse, a horse, my kingdom for a horse.
And I remember the kissing of her batler, and the cow’s dugs that her pretty chopped hands had milked.	I remember the kissing of her batler, and the cow’s smears that she had milked.
And, moreover, God saw him when he was hid in the garden.	God saw him when he was hid in the garden.
And here’s another, whose warped looks proclaim What store her heart is made on.	Here’s another, who has a slammed look proclaiming what she is making on her heart.
A bird of my tongue is better than a beast of yours.	A bird of my tongue is better than a beast of yours.
A play there is, my lord, some ten words long, Which is as brief as I have known a play.	I have a play there, my lord, about ten words long, which is as brief as I have known a play.
All springs reduce their currents to mine eyes, That I, being governed by the watery moon, May send forth plenteous tears to drown the world.	All springs reduce their currents to mine eyes, that I, being governed by the watery moon, may send tears to drown the world.
Alas, poor country!	Poor country!
A coward, a most devout coward, religious in it.	A coward, a most devout coward, religious in it.
An they will take it, so.	If they will take it, so.
And it is very much lamented, Brutus, That you have no such mirrors as will turn Your hidden worthiness into your eye That you might see your shadow.	It is very regrettable, Brutus, that you have no mirrors that will turn your hidden worthiness into your eye so you can see your shadow.
And I do believe your Majesty takes no scorn to wear the leek upon Saint Tavy’s day.	I believe your Majesty does not take any scorn to wear the leek on Saint Tavy’s day.
And you by land.	You are by land.
And I the king shall love thee.	I will love you.
A good and virtuous nature may recoil In an imperial charge.	A good and virtuous nature may be a king in an imperial charge.
And death, not Romeo, take my maidenhead!	Death, not Romeo, take my maidenhead!
About!	About!
Are you wise?	Are you wise?
And when I have my meed, I will away, For this will out, and then I must not stay.	When I have my meed, I will go away, because I will go out, and then I will not stay.
Alexander, God knows and you know, in his rages and his furies and his wraths and his cholers and his moods and his displeasures and his indignations, and also being a little intoxicates in his prains, did, in his ales and his angers, look you, kill his best friend, Cleitus.	Alexander, God knows and you know, in his rages and his furies and his wraths and his cholers and his moods and his displeasures and his indignations, and being
A fire, good Curtis.	A fire, Curtis.
A plague upon you, murderers, traitors all!	You are all murderers, traitors.
And by all means stir on the youth to an answer.	The youth will be able to get a response.
A pestilent gall to me!	A pestilent gall to me!
All dead.	All dead.
And when he saw my best alarumed spirits, Bold in the quarrel’s right, roused to the encounter, Or whether ghasted by the noise I made, Full suddenly he fled.	When he saw my best alarumed spirits, Bold in the dispute’s right, roused to the encounter, or ghasted by the noise I made, Full suddenly he fled.
A gentle riddance.—Draw the curtains, go.— Let all of his complexion choose me so.	You can do it.
And pity to the general wrong of Rome— As fire drives out fire, so pity pity— Hath done this deed on Caesar.	It is a shame to have the general wrong of Rome, as fire drives out fire, so pity to have done this on Caesar.
And I have met a gentleman Hath promised me to help me to another, A fine musician to instruct our mistress.	I have met a gentleman who promised me to help me to another musician, a fine musician, to instruct our mistress.
After the battle let George Stanley die.	After the battle let George Stanley die.
A very even way, but no such friend.	It is a very fair way, but no friend.
And how you may be converted I know not, but methinks you look with your eyes as other women do.	I know you may be converted, but I think you look with your eyes as you do with other women.
And I do not doubt but to hear them say, “It is a sweet comedy.” No more words.	I do not doubt that they say, “It is a sweet comedy.”
And shall, or some of us will smart for it.	You will, or some of us will, be smart for it.
Are you his brother?	Are you his brother?
Are you of good or evil?	Are you good or evil?
And, as the jest did glance away from me, 'Tis ten to one it maimed you two outright.	As the jest looked away from me, 'Tis ten to one it mutilated you two outright.
A false conclusion.	A false conclusion.
Alas, poor rogue, I think indeed she loves me.	Poor rogue, I think she loves me.
And, hark!	Oh, hark!
A maiden never bold, Of spirit so still and quiet that her motion Blushed at herself.	A maiden never bold, of spirit so still and quiet that her motion shook her head.
And you, sir.	You, sir.
And look, where Publius is come to fetch me.	Look, where Publius is coming to fetch me.
And if it stand, as you yourself still do, Within the eye of honor, be assured My purse, my person, my extremest means Lie all unlocked to your occasions.	If it stands, as you do, in honor of your honor, be assured that my purse, my person, my extremist means, will be a great asset to your occasion.
And maidens call it “love-in-idleness.” Fetch me that flower.	I love it.
All, all.	All, all.
And a true lover of the holy Church.	A true lover of the holy Church.
A surgeon!	A surgeon!
And, as he fell, did Romeo turn and fly.	As he fell, Romeo sat down and flies.
Any man that can write may answer a letter.	Any man who can write can answer a letter.
And when she weeps, weeps every little flower, Lamenting some enforcèd chastity.	When she weeps, she weeps every little flower, pledging some chastity.
Alone, it was the subject of my theme; In company I often glancèd it.	I was alone, it was the subject of my theme.
Amen, say we.	Amen, say we.
And then he offered it the third time.	He offered it the third time.
A rarer spirit never Did steer humanity, but you gods will give us Some faults to make us men.	A rarer spirit never did steer humanity, but you gods will give us some faults to make us men.
And good monsieur, have a care the honey bag break not.	Good monsieur, do not let the honey bag break.
And we mean well in going to this mask, But ’tis no wit to go.	We mean well in going to this mask, but there is no wit to go.
An you love me, let’s do ’t.	If you love me, let’s do it.
A guiltless death I die.	I die a sinless death.
Are you sure of that?	Are you sure of that?
And what your Highness suffered under that shape, I beseech you take it for your own fault and not mine, for, had you been as I took you for, I made no offense.	What happened under that shape, I beg you to take it for your fault and not mine, because if you were as I took you, I would have made no offense.
A plague o' both your houses!	A plague o' both your houses!
A friend of Antony’s.	A friend of Antony’s.
Alas, I am the mother of these griefs.	I am the mother of these griefs.
And the rarest that e'er came there.	The rarest thing that e'er came there.
A braggart, a rogue, a villain that fights by the book of arithmetic!	A braggart, a rogue, a villain who fights by the book of arithmetic.
And here stands all your state: Either be gone before the watch be set, Or by the break of day disguised from hence.	Here is your state: either be gone before the watch is set, or by the break of day disguised from hence.
Alas, poor Harry of England!	Poor Harry of England!
Apothecary!	Apothecary!
Ah keeper, keeper, I have done those things, That now give evidence against my soul, For Edward’s sake, and see how he requites me.— O God, if my deep prayers cannot appease thee, But thou wilt be avenged on my misdeeds, Yet execute thy wrath in me alone!	Oh, keeper, I have done those things, and now I can prove my love for Edward and see how he requises me.
And how besides thyself?	How do you do it out?
An thou hadst been set i' th' stocks for that question, thou’dst well deserved it.	If you had been set to stock your stocks for that question, you would have deserved it.
And mine shall.	I will.
And let those that play your clowns speak no more than is set down for them, for there be of them that will themselves laugh to set on some quantity of barren spectators to laugh too, though in the meantime some necessary question of the play be then to be considered.	Let those who play your clowns speak no more than is set down for them, because there will be some of them who will laugh to make some barren spectators laugh too, though in the meantime some necessary question of the play should be
A very gentle beast, of a good conscience.	A very gentle beast, of a good conscience.
And that you would have me to do!	That would be a good thing for you!
Are you there, wife?	Are you there, wife?
A touch, a touch, I do confess ’t.	I confess that I do not.
And as I wooed for thee to obtain her, I will join with thee to disgrace her.	As I wooed for you to get her, I will join you to shame her.
And jealous Oberon would have the child Knight of his train, to trace the forests wild.	He would have the child Knight of his train, to trace the forests wild.
An ’twere to me, I should be mad at it.	If I had a bad idea, I would be mad at it.
And, sister, as the winds give benefit And convey is assistant, do not sleep, But let me hear from you.	If you are a sister, as the winds give benefit and convey it is assistant, do not sleep, but let me hear from you.
Adieu!	Adieu!
And so no doubt he is, my gracious madam.	He is my gracious madam.
Are you so gospeled To pray for this good man and for his issue, Whose heavy hand hath bowed you to the grave And beggared yours forever?	Are you so gospeled to pray for this good man and for his issue, who has bowed you to the grave and beggared you forever?
A contagious breath.	A contagious breath.
Ah, cut my lace asunder, That my pent heart may have some scope to beat, Or else I swoon with this dead-killing news!	I will cut my lace asunder, so my pent heart can have some room to beat, or I will swoon with this dead-killing news!
A second Daniel!—A Daniel, Jew!	A second Daniel!
And ere I take this charm from of her sight— As I can take it with another herb— I’ll make her render up her page to me.	I will make her render her page to me.
All things are ready if our minds be so.	Everything is ready if we are so.
All thy tediousness on me, ah?	What is your tediousness on me?
All hell shall stir for this.	All hell will stir for this.
Alas, the storm is come again!	The storm is coming again.
And how like you this shepherd’s life, Master Touchstone?	How do you feel like you, Master Touchstone?
An you be mine, I’ll give you to my friend.	If you are mine, I will give you to my friend.
And that most deeply to consider is The beauty of his daughter.	What is most important to consider is the beauty of his daughter.
A match!	A match!
Adieu.	Adieu.
A gentleman?	A gentleman?
Are you full of them?	Are you full of them?
And therefore is he idle?	Is he idle?
An if the wind blow any way from shore, I will not harbor in this town tonight.	If the wind blows from shore, I will not harbor tonight in this town.
All which we pine for now.	All that we pine for now.
And find I am alone felicitate In your dear highness' love.	I am alone and I am very happy with your love for you.
And wast thou fain, poor father, To hovel thee with swine and rogues forlorn In short and musty straw?	Wasn’t you tempted, poor father, to hovel you with swine and rogues forlorn in short and musty straw?
A thing for me?	What is going on for me?
An we do not, it is pity of our lives.	If we do not, it is a shame of our lives.
And this same progeny of evils comes From our debate, from our dissension.	This is the same progeny of evils that comes from our debate, from our dissension.
And therefore ’tis called a sensible tale.	It is a sensible tale.
And made your other love, Demetrius— Who even but now did spurn me with his foot— To call me goddess, nymph, divine, and rare, Precious, celestial?	You made your other love Demetrius, who even but now did not spur me with his foot, call me goddess, nymph, divine, and rare, precious, celestial?
An if I be, sir, is it any offense?	If I am, sir, is it a crime?
And I will sing it in the latter end of a play before the duke.	I will sing it in the latter end of a play before the duke.
And most poor matters Point to rich ends.	Most poor matters are rich.
Another hit.	Another hit.
An you part so, mistress, I would I might never draw sword again.	If you do so, mistress, I would never have to draw sword again.
And to sink in it, should you burthen love— Too great oppression for a tender thing.	If you sink in it, you will be tempted to fall in love.
And died that day when Viola from her birth Had numbered thirteen years.	Viola died that day when she died from her birth.
And, to inure thyself to what thou art like to be, cast thy humble slough and appear fresh.	To get to know what you are like to be, cast your humble slough and appear fresh.
And doubt not, sir, but she will well excuse Why at this time the doors are made against you.	You are right, sir, but she will be able to excuse why the doors are made against you.
And, gentle friends, Let’s kill him boldly but not wrathfully.	Let’s kill him boldly, but not wrathfully.
A foe to tyrants, and my country’s friend.	A foe to tyrants, and a friend to my country.
And what hope is that, I pray thee?	What is that hope, I pray you?
And her sister By her is poisoned.	Her sister is poisoned by her.
An old Italian fox is not so kind, my boy.	An old Italian fox is not so kind, my boy.
And he that hath commanded is our king.	He who has commanded is our king.
And so far blameless proves my enterprise, That I have 'nointed an Athenian’s eyes.	I have 'nared an Athenian’s eyes', and I have been so blameless.
And tell me now, sweet friend, what happy gale Blows you to Padua here from old Verona?	Tell me now, sweet friend, what happy gale you are here from Verona?
A damnèd death!	A damned death!
All come to this?	Come to this?
And here will rest me.	Here will be my rest.
And you are well met, Signior Hortensio.	You are well met, Signior Hortensio.
And for my sister and her princely sons, Be satisfied, dear God, with our true blood, Which, as thou know’st, unjustly must be spilt.	For my sister and her princely sons, be satisfied, dear God, with our true blood, which, as you know, must be spilt in unjust way.
A pound of man’s flesh taken from a man Is not so estimable, profitable neither, As flesh of muttons, beefs, or goats.	A pound of man’s flesh taken from a man is not so worthless, profitable, as meat of muttons, beefs, or goats.
Ariel, thy charge Exactly is performed.	Ariel, your charge is exactly what you are doing.
Alas, what danger will it be to us, Maids as we are, to travel forth so far?	What is the danger for us, Maids as we are, to travel so far?
And stand indebted, over and above, In love and service to you evermore.	You are always in love and service.
A proper man.	A good man.
And these few precepts in thy memory Look thou character.	You are a character.
Accursed, unhappy, wretched, hateful day!	A happy, unhappy, wretched, hateful day!
And why, my Lady Wisdom?	Why, my Lady Wisdom?
And let my liver rather heat with wine Than my heart cool with mortifying groans.	Let my liver heat with wine than my heart cool with mortifying groans.
And know it now: the senate have concluded To give this day a crown to mighty Caesar.	Now you know it: the senate has concluded to give Caesar a crown today.
A most wicked Sir Oliver, Audrey, a most vile Martext.	A wicked Sir Oliver, Audrey, a very vile Martext.
And doth affection breed it?	Does affection breed it?
And so falls it out With Rivers, Vaughan, Grey; and so ’twill do With some men else that think themselves as safe As thou and I, who, as thou know’st, are dear To princely Richard and to Buckingham.	So falls it out with Rivers, Vaughan, Grey; and so will not do with some men who think themselves as safe as you and I, who, as you know, are dear to princely Richard and Buckingham.
And so am I for no woman.	I am for no woman.
And yonder, Caesar.	And yonder, Caesar.
A sight most pitiful in the meanest wretch, Past speaking of in a king.	It is a sight most pitiful in the meanest wretch, speaking of in a king.
A most manly wit, Margaret, it will not hurt a woman.	Margaret, it will not hurt a woman.
And that’s but unwholesome food, they say.	That is not a healthy food, they say.
And so had I, but yet, for fashion sake, I thank you too for your society.	I would have done so, but for fashion sake, I thank you for your society.
And when that time comes, Afflict me with thy mocks, pity me not, As till that time I shall not pity thee.	When that time comes, I will not be able to do so.
And though you know my inwardness and love Is very much unto the Prince and Claudio, Yet, by mine honor, I will deal in this As secretly and justly as your soul Should with your body.	I will deal with this secretly and justly as your soul should with your body.
A very fine one.	A very fine one.
Are you my wife and will not call me “husband”?	Are you my wife and will not call me “husband”?
And buried, gentle Tyrrel?	And buried, gentle Tyrrel?
Adieu, good Monsieur Melancholy.	Adieu, good Monsieur Melancholy.
And how does your content Tender your own good fortune?	How does your content make you happy?
A good note, that keeps you from the blow of the law.	A good note, that keeps you from the blow of the law.
Amen, with all my heart.	Amen, with all my heart.
Alack, sir, you cannot see your way.	You can't see your way.
A quarrel, but nothing wherefore.	A dispute, but nothing to do with that.
Are you yet living?	Are you still living?
And you, good sir.	You, sir.
A piece of ice.	A piece of ice.
Ah, my poor princes!	Oh, my poor princes!
And now about the cauldron sing, Like elves and fairies in a ring, Enchanting all that you put in.	Now about the cauldron sing like elves and fairies in a ring, enchanting all that you put in.
And there is a forerunner come from a fifth, the Prince of Morocco, who brings word the prince his master will be here tonight.	There is a fifth of the prince of Morocco, who says the prince will be here tonight.
And that same vengeance doth He hurl on thee For false forswearing and for murder too.	He hurls on you for false forswearing and for murder.
And while thou liv’st, dear Kate, take a fellow of plain and uncoined constancy, for he perforce must do thee right because he hath not the gift to woo in other places.	While you, dear Kate, take a fellow of plain and uncoined constancy, he must do your job right, because he has not the gift to woo in other places.
Alas, what does this gentleman conceive?	What is this gentleman thinking?
And you shall be satisfied.	You will be satisfied.
And at her late being here She gave strange oeillades and most speaking looks To noble Edmund.	She gave Edmund strange oeillades and gave him the most speaking look.
An they be not, let them hang themselves in their own straps.	If they are not, let them hang themselves in their own straps.
And by how much she strives to do him good She shall undo her credit with the Moor.	By how much she is trying to do him good, she will give him credit to the Moor.
A thousand thanks, Signior Gremio.	A thousand thanks, Signior Gremio.
Approach.	Approach.
Angels are bright still, though the brightest fell.	Angels are still bright, though the brightest fell.
A better instance, I say.	I think that is a better example.
And so will I.	I will.
And what’s he then that says I play the villain?	What is he saying when I play the villain?
And here’s a marvelous convenient place for our rehearsal.	Here is a wonderful place to perform.
And when I told thee he was of my counsel Of my whole course of wooing, thou cried’st “Indeed?” And didst contract and purse thy brow together As if thou then hadst shut up in thy brain Some horrible conceit.	When I told you he was of my counsel, you said, “Indeed?” and you sat together and pursed your brow together as if you had shut up your brain.
And all for nothing— For Hecuba!	Hecuba!
And with the juice of this I’ll streak her eyes And make her full of hateful fantasies.	I will be squeezing her eyes with the juice of this juice and make her full of hateful fantasies.
Alas Iago, What shall I do to win my lord again?	What will I do to win my lord again?
Arise, and say how thou camest here.	Arise, and say how you came here.
All hail, great master!	All hail, great master!
And I have built Two chantries where the sad and solemn priests Sing still for Richard’s soul.	I have built two chantries where the sad and solemn priests sing still for Richard’s soul.
And lovers' absent hours More tedious than the dial eightscore times!	The absence of lovers is more tedious than the dial eightscore times.
And those that leave their valiant bones in France, Dying like men though buried in your dunghills, They shall be famed; for there the sun shall greet them And draw their honors reeking up to heaven, Leaving their earthly parts to choke your clime,	Who leaves their valiant bones in France, dripping like men though buried in your dunghills, will be famed; because there the sun will greet them and draw their honors reeking up to heaven,
And I am such a tender ass, if my hair do but tickle me, I must scratch.	If my hair does not tickle me, I must scratch.
Alack, my lord, that fault is none of yours.	Oh, my lord, that is not your fault.
Above my fortunes, yet my state is well.	My state is well.
And discourse fustian with one’s own shadow?	And discourse fustian with one’s shadow?
And in the morn I’ll bring you to your ship and so to Naples, Where I have hope to see the nuptial Of these our dear-belovèd solemnized, And thence retire me to my Milan, where Every third thought shall be my grave.	I will bring you to your ship and so to Naples, where I hope to see the nuptial of these dear-beloved solemnized.
A night is but small breath and little pause To answer matters of this consequence.	A night is only a small breath and little pause to answer questions of this consequence.
And therefore as a stranger give it welcome.	Give it a welcome as a stranger.
And what of all this?	What is that all of this?
And I beseech you come again tomorrow.	I beg you to come back tomorrow.
All’s but naught.	All is good, but nothing is bad.
An now tell me, how doth your cousin?	Now tell me, how does your cousin do that?
All blessed secrets, All you unpublished virtues of the earth, Spring with my tears.	All you have blessed secrets, all you have unpublished virtues of the earth, spring with my tears.
A holy day shall this be kept hereafter.	It will be a holy day.
All this done Upon the gad?—Edmund, how now?	What is done Upon the end of the day?
And terms compulsatory, those foresaid lands So by his father lost.	He lost his father.
All other devils that suggest by treasons Do botch and bungle up damnation With patches, colors, and with forms being fetched From glist'ring semblances of piety.	All other devils that suggest by treason do not go to hell and smuggle up damnation with patches, colors, and forms being etched from glist'ring semblances of p
And will you rent our ancient love asunder To join with men in scorning your poor friend?	Will you rent our ancient love asunder to join men in discrediting your poor friend?
An’t please your Majesty, ’tis the gage of one that I should fight withal, if he be alive.	If you are not please, it is the gage of one that I should fight with, if he is alive.
A little water clears us of this deed.	A little water clears us of this act.
Alas, why gnaw you so your nether lip?	Why gnaw you so much your nether lip?
Alack, alack the day!	Oh, hell, hell, hell.
A good matter, surely.	It is a good thing, surely.
And then give them great meals of beef and iron and steel, they will eat like wolves and fight like devils.	Give them great meals of beef and iron and steel, they will eat like wolves and fight like devils.
And to that end we wished your Lordship here T' avoid the censures of the carping world.	To that end, we wish your Lordship here T's free from the slanders of the world.
Appear thou in the likeness of a sigh!	You are like a sigh!
Antony, Leave thy lascivious wassails.	Antony, leave your lascivious wassails.
And shall our quick blood, spirited with wine, Seem frosty?	Will our bloody blood, spirited with wine, be swollen?
And having brought our treasure where we will, Then take we down his load and turn him off, Like to the empty ass, to shake his ears And graze in commons.	After we brought our treasure where we will, we take him down and turn him off, like a sleeve, to shake his ears and graze in commons.
And we’ll wear out In a walled prison packs and sects of great ones That ebb and flow by the moon.	We will wear out in a walled prison pack and sects of great ones that ebb and flow by the moon.
And here much Orlando.	I am so glad you did.
And, for thou wast a spirit too delicate To act her earthy and abhorred commands, Refusing her grand hests, she did confine thee, By help of her more potent ministers And in her most unmitigable rage, Into a cloven pine, within which rift Imprisoned thou didst painfully remain A dozen years; within which space she died And left thee there, where thou didst vent thy groans As fast as mill wheels strike.	You were too delicate to act her earthy and abhorred commands, and she confined you, with the help of her more powerful ministers, into a cloven pine, in which rift Imprisoned you painful
And I am your Rosalind.	I am Rosalind.
And why not the swift foot of time?	Why not wait for the rapid foot of time?
And, gentle master, I received no gold.	I was a gentle master.
Answer every man directly.	Answer every man directly.
A quarrel, ho, already?	A dispute, ho, already?
An I do not— Come, let’s see the event.	If I do not, come, let’s see the event.
A soothsayer bids you beware the ides of March.	A soothsayer offers you a warning against the ides of March.
Are there balance here to weigh The flesh?	Are there balance here to weigh the flesh?
And the hour, I think, is come To give him hearing.	I think the hour is coming to give him a hearing.
And be a happy mother by the deed.	Be a happy mother by the act.
And yet, to say the truth, reason and love keep little company together nowadays.	To say the truth, reason and love keep little company together.
Another way I have to man my haggard, To make her come and know her keeper’s call.	I have another way to make her come and know her keeper’s call.
And leave out thee?	Leave you out?
A gentleman, Nurse, that loves to hear himself talk, and will speak more in a minute than he will stand to in a month.	A gentleman, Nurse, who loves to hear himself talk more in a minute than he will speak in a month.
All there is thine.	All you have to do is to be thin.
And I another.	I am another.
And what should I do in Illyria?	What should I do in Illyria?
And though we lay these honors on this man To ease ourselves of divers slanderous loads, He shall but bear them as the ass bears gold, To groan and sweat under the business, Either led or driven, as we point the way.	He will not bear them as the ass bears gold, to groan and sweat under the business, either led or driven, as we point the way.
Are we all ready?	Are we all ready?
Addicted so and so.—” And there put on him What forgeries you please.	He is a man who is a man of kindness.
Alas, what cry is that?	What is that cry?
And, dying so, death is to him advantage; or not dying, the time was blessedly lost wherein such preparation was gained.	If he is dying, death is to him advantage; or not, the time was lost wherein such preparation was gained.
And therefore will come.	So, we will come.
And I, my royal sovereign.	I am my royal sovereign.
An it had not fallen flat-long.	It was not flat-long.
An unauthorized kiss!	Anunauthorized kiss!
All the power of his wits have given way to his impatience.	All his wits have given way to his impatience.
And Trinculo is reeling ripe.	Trinculo is reeling ripe.
A plague upon you all!	You are all plagued!
And I as I love Hastings with my heart.	I love Hastings with my heart.
And then the moon, like to a silver bow New bent in heaven, shall behold the night Of our solemnities.	The moon will be able to bow like a silver bow in heaven.
And did not she herself revile me there?	Didn’t she herself retorn me there?
And then?	And then?
Am I come near ye now?— Welcome, gentlemen!	Am I nearing you now?
A wandering knight?	A wandering knight?
Advise yourself.	Advise yourself.
And you too, gentle Hero?	You, gentle Hero?
Are our eyes our own?	Are our eyes our own?
And they that are most gallèd with my folly, They most must laugh.	They are the ones who are most disgusted with my folly.
Anon, anon!	Anon, anon!
Against my will I am sent to bid you come in to dinner.” There’s a double meaning in that.	I am sent to ask you to come in to dinner.
And twenty of these puny lies I’ll tell, That men shall swear I have discontinued school Above a twelvemonth.	Twenty of these lies I will tell men that I have been told I have discontinued school over a twelve month period.
And they have been grand-jurymen since before Noah was a sailor.	They are grand-jurymen since Noah was a sailor.
An Englishman?	An Englishman?
And now I do bethink me, it was she First told me thou wast mad, then camest in smiling, And in such forms which here were presupposed Upon thee in the letter.	Now I think about it, she first told me you were mad, then came in smiling, and in such forms that were presupposed here.
A right good markman!	A good markman!
Am I your man?	Am I your man?
And in part him, but,” you may say, “not well.	You may say, “not well.
A good man’s fortune may grow out at heels.	A good man’s fortune may grow out of heels.
Alas, good Cassio!	Good Cassio!
And mine, to eke out hers.	I will be mine, to eke out hers.
A very handsome man.	He is a handsome man.
Alack, what noise is this?	What noise is this?
And his kissing is as full of sanctity as the touch of holy bread.	His kiss is as sanctified as the touch of bread.
And his kinsman too.	He is a kinsman.
And let his knights have colder looks among you.	Let his knights have colder looks among you.
A grievous fault.—Say, woman, didst thou so?	You are a grievous woman.
Apollo plays, And twenty cagèd nightingales do sing: Or wilt thou sleep?	Apollo plays, and twenty cagèd nightingales sing: Or do you sleep?
And thou, all-shaking thunder, Smite flat the thick rotundity o' th' world, Crack nature’s molds, all germens spill at once That make ingrateful man!	You, all-shaking thunder, smit the thick rotundity o' th' world, crack nature’s molds, all germens spill at once that make a man irritable
And after that he came thus sad away?	He was so saddened by that?
And she as much in love, her means much less To meet her new beloved anywhere.	She is so in love, she is less likely to meet her new beloved anywhere.
Are you good men and true?	Are you good men and true?
An interlude!	An interlude!
Are you sure That we are awake?	Are you sure that we are awake?
Answer to that.	Answer that question.
Alas the day, it did.	It was the day.
And what’s to come of my despisèd time Is naught but bitterness.	What is going on from my despised time is naught but bitterness.
And begged he pardon?	He asked him to pardon.
Affection!	Affection!
Amen to that, sweet powers!	Amen to that, sweet powers!
And I’ll still stay, to have thee still forget, Forgetting any other home but this.	I will stay, to have you forget, forge any other home but this.
All myself?	Is that all I can do?
A plague upon the tyrant that I serve!	A plague on the tyrant I serve.
A good soft pillow for that good white head Were better than a churlish turf of France.	A good pillow for that white head was better than a churlish turf of France.
Alas, why would you heap this care on me?	Why would you heap this care on me?
And thus she means, videlicet— Asleep, my love?	She means, videlicet, my love.
Are you not well?	Are you not good?
A stone-cutter or painter could not have made him so ill though they had been but two years o' th' trade.	A stone-cutter or painter could not have made him so ill as he was two years old.
And yet my sky shall not want.	I will not want to see my sky.
Am not I Christopher Sly, old Sly’s son of Burton Heath, by birth a peddler, by education a cardmaker, by transmutation a bearherd, and now by present profession a tinker?	Is Christopher Sly, old Sly’s son of Burton Heath, a peddler, a cardmaker, a bearherd, and now a tinker?
Accost, Sir Andrew, accost.	Sir Andrew, accost.
Are they like to take dust, like Mistress Mall’s picture?	Are they like to take dust, like Mistress Mall’s picture?
Are you so hasty now?	Are you so eile now?
And Launcelot, soon at supper shalt thou see Lorenzo, who is thy new master’s guest.	You will soon, at supper, see Lorenzo, who is your new master’s guest.
Age cannot wither her, nor custom stale Her infinite variety.	Age cannot wither her, nor can she stale her infinite variety.
And I mine.	I have mine.
And how long is that, think you?	How long is that, think you?
All hail, Macbeth!	All hail, Macbeth!
A man that had a wife with such a wit, he might say “Wit, whither wilt?”  Nay, you might keep that check for it, till you met your wife’s wit going to your neighbor’s bed.	If a man had a wife with such a wit, he might say “Wit, whither wilt?”
Alack, ’tis he.	He is a good man.
Antonio, I arrest thee at the suit of Count Orsino.	Antonio, I arrest you at the suit of Count Orsino.
And let us do it with no show of fear, No, with no more than if we heard that England Were busied with a Whitsun morris-dance.	Let us do it with no fear, no, with no fear, and nothing more than if we heard that England was busied with a Whitsun morris-dance.
A gentle scroll.	A gentle scroll.
And friends with Caesar.	And friends with Caesar.
A tomb Must cover thy sweet eyes.	A tomb must cover your sweet eyes.
And you, fair sister.	You, fair sister.
Amen.	Amen.
A friendly eye could never see such faults.	A friendly eye could never see such faults.
Answer me like men.	Answer me like men.
All lost!	All lost!
