Anon!	Goodbye!
By any other house or person?	By any other house or person?
Yes, by Saint Anne, and ginger shall be hot i' the mouth too.	Yes, by Saint Anne, and ginger will be hot in the mouth too.
Music, ho!	Music!
Methinks you are my glass, and not my brother: I see by you I am a sweet-faced youth.	I think you’re my glass, not my brother.
She is stirring, sir.	She’s stirring, sir.
Braved in mine own house with a skein of thread?	I’ve been robbed in my own house with a skein of thread?
Back you shall not to the house, unless you undertake that with me which with as much safety you might answer him.	You can’t go back to the house unless you’re able to do something with me, which you can do with as much security as you can.
An honest tale speeds best being plainly told.	It’s best to tell a truth.
What’s the matter, lieutenant?	What’s the matter, lieutenant?
Therefore, great King, We yield our town and lives to thy soft mercy.	So, great King, we give our town and lives to your mercy.
Even such delight Among fresh fennel buds shall you this night Inherit at my house.	You’ll be here tonight at my house.
Arms, take your last embrace.	Arms, take your last embrace.
Marry, God forbid!	God forbid!
I go; and towards three or four o'clock Look for the news that the Guildhall affords.	I’ll go, and at three or four o'clock look for the news that the Guildhall offers.
O, let me kiss that hand!	Oh, let me kiss that hand!
We have none such, sir.	We don’t have any such thing, sir.
You shall hear more by midnight.	You’ll hear more by midnight.
Urge me no more, I shall forget myself.	Don’t ask me to do anything else, I’ll forget myself.
What dogs are these!	What dogs are these!
Will you walk, sir?—O Desdemona— My lord?	Will you walk, sir?—O Desdemona— My lord?
O serpent heart hid with a flowering face!	Oh, serpent heart hid with a flowering face!
Stand, an you be a man.	Stand up, if you’re a man.
Die for adultery?	Die for adultery?
I might call him A thing divine, for nothing natural I ever saw so noble.	I could call him a divine man, because nothing natural I ever saw so noble.
Gentlewoman, my lady calls.	Gentlewoman, my lady calls me.
Well, I’ll be revenged as I may.	Well, I’ll be revenged as I can.
Pass.	Pass.
You are looked for and called for, asked for and sought for, in the great chamber.	You’re in the great chamber looking for and called for, asked and sought for.
God give me joy to wear it, for my heart is exceeding heavy.	God give me joy in wearing it, because my heart is exceedingly heavy.
Ay, lord.	Yes, lord.
The old man and his people Cannot be well bestowed.	The old man and his people can’t be well rewarded.
Tis a fair young man, and well attended.	He’s a good young man, and he’s well attended.
And too soon marred are those so early made.	And too soon are those who made it so early.
I charge you, get you home.	I’ll get you home.
But who was this?	But who was this?
My master hath appointed me to go to Saint Luke’s to bid the priest be ready to come against you come with your appendix.	My master has appointed me to go to Saint Luke’s to ask the priest to come against you with your appendix.
That is the way to make her scorn you still.	That’s the way to make her slander you.
Why then, good night indeed.	Well then, good night.
Now, forward with your tale.—Prithee, stand farther off.	Now, get ahead of your story.—Prince, stand farther away.
Madam, I am here.	Madam, I’m here.
Came he not home tonight?	Didn’t he come home tonight?
Ay me, it is my husband.	Yes, it’s my husband.
I pray, weep not.	Please don’t cry.
I am Grumio’s pledge.	I’m Grumio’s pledge.
What likelihood of his amendment, lords?	What is his amendment likely, lords?
I protest unto thee— Good heart, and i' faith, I will tell her as much.	I’m telling her that I’m good, and I’m sure she’ll tell her as much.
You have an excellent armor, but let my horse have his due.	You have an excellent armor, but let my horse have his due.
And we will hear it.	And we’ll hear it.
Oh, ’tis foul in her.	Oh, it’s foul in her.
I remember him well, and I remember him worthy of thy praise.	I remember him well, and I remember him worthy of your praise.
They lack retention.	They’re not able to keep their spirits.
Not I.	Not me.
Even as a flatt'ring dream or worthless fancy.	It’s just like a flattened dream or a useless fancy.
Come, sir, to dinner.—Dromio, keep the gate.	Come to dinner, sir.—Dromio, keep the gate.
Hence, Mardian, And bring me how he takes my death.	Go, Mardian, and bring me the way he takes my death.
And let my liver rather heat with wine Than my heart cool with mortifying groans.	And let my liver heat with wine rather than my heart cool with mortifying groans.
Then how can it be said I am alone When all the world is here to look on me?	Then how can I say I’m alone when the whole world is here to look at me?
Look to ’t, I charge you.	Look at it, I’m telling you.
But let them measure us by what they will.	But let them measure us by what they want.
You could never do him so ill-well unless you were the very man.	You could never do him so badly if you were the man you were.
But nature should bring forth Of its own kind all foison, all abundance, To feed my innocent people.	But nature should bring forth its own kind, all abundance, to feed my innocent people.
Stephano!	Stephano!
Lurk, lurk.	Lurk, lurk.
Love me or love me not, I like the cap, And it I will have, or I will have none.	I’ll have it, or I’ll have none.
Caesar, my lord.	Caesar, my lord.
And I beseech you come again tomorrow.	And I beg you to come back tomorrow.
I must tell you then.	I’ll tell you then.
Sola, sola!	Oh, yes!
Is Claudio thine enemy?	Is Claudio your enemy?
Is now become a god, and Cassius is A wretched creature and must bend his body If Caesar carelessly but nod on him.	It’s become a god, and Cassius is a wretched creature and must bend his body if Caesar scolded him.
Farewell, great chief.	Goodbye, great chief.
Call you this railing?	Do you call this a slur?
And if your love Can labor ought in sad invention, Hang her an epitaph upon her tomb And sing it to her bones.	And if your love can work in a sad way, hang her an epitaph on her tomb and sing it to her bones.
Faith, like enough.	Yes, that’s enough.
Very brief, and to exceeding good sense—less.	Very brief, and to exceeding good sense—less.
This only is the witchcraft I have used.	This is only the witchcraft I’ve used.
Shall I say to you, “Let them be free!	Shall I say to you, “Let them be free!
How is it with her?	How is she?
We must not.	We shouldn’t.
I would I were invisible, to catch the strong fellow by the leg.	I wish I were invisible, to catch the strong fellow by the leg.
Give me my sin again.	Give me my sin back.
The king has killed his heart.	The king has killed his heart.
They did so, to th' amazement of mine eyes That looked upon ’t.	They did so, to amaze me how I looked at it.
Do you know me, sir?	Do you know me, sir?
Think what thou wilt, I am thy lover’s grace.	Think what you want, I’m your lover’s grace.
Saw you him today?	Did you see him today?
If she do, he’ll smile and take ’t for a great favor.	If she does, he’ll smile and take it for a great favor.
I know it pleaseth neither of us well.	I know it doesn’t please any of us.
Go with me to the duchess.	Go with me to the duchess.
Shake!” quoth the dovehouse.	Shake!” quoth the dovehouse.
Thou flea, thou nit, thou winter cricket thou!	You flea, you nit, you winter cricket!
Ay, sir, the sergeant of the band; he that brings any man to answer it that breaks his band; one that thinks a man always going to bed and says “God give you good rest.”  Well, sir, there rest in your foolery.	Yes, sir, the sergeant of the band; the one who brings any man to answer the question that breaks his band; the one who thinks a man always goes to bed and says, “God give you good
The Prince will doom thee death If thou art taken.	The Prince will punish you for death if you’re taken.
The cords That Romeo bid thee fetch?	The cords Romeo told you to get?
I will be heard.	I’ll be heard.
For, I am sure, you have your hands full all In this so sudden business.	I’m sure you’re all in the right mood for this sudden business.
Mark Antony I served, who best was worthy Best to be served.	I served Mark Antony, who was the best person to be served.
My worthy lord, Your noble friends do lack you.	My noble lord, your noble friends don’t have you.
Why then, your ambition makes it one.	Well then, your ambition makes it one of them.
You look wearily.	You look tired.
To no more Will I give place or notice.	I won’t give any more notice or place.
Pray God, I say, I prove a needless coward!	Please, I say, I’m a useless coward!
Marry, heaven forbid!	God forbid!
Some light-foot friend post to the duke of Norfolk— Ratcliffe, thyself, or Catesby.	Some light-foot friend will go to the duke of Norfolk— Ratcliffe, yourself, or Catesby.
Are we all met?	Are we all here?
Have we devils here?	Are we devils here?
Heaven and earth!	Heaven and earth!
Is ’t possible?	Is it possible?
As I have life and honor, there shall he sit till noon.	As long as I have life and honor, he’ll sit there until noon.
As you shall prove us, praise us.	As you’ll tell us, praise us.
Nay, but Beatrice— Sweet Hero, she is wronged, she is slandered, she is undone.	No, but Beatrice— Sweet Hero, she’s wronged, she’s slandered, and she’s gone.
What, sir, not yet at rest?	What, sir, are you still sleeping?
It is well.	It’s good.
Not to kill him, having a warrant, but to be damned for killing him, from the which no warrant can defend me.	Not to kill him, but to be damned for killing him, from which no warrant can defend me.
But Antonio is certainly undone.	But Antonio has certainly been wiped out.
Then must thou needs find out new heaven, new earth.	Then you have to find out new heaven, new earth.
Hence, saucy eunuch!	So, sane eunuch!
Who cannot want the thought how monstrous It was for Malcolm and for Donalbain To kill their gracious father?	Who can’t imagine how monstrous it was for Malcolm and Donalbain to kill their gracious father?
Ceres, most bounteous lady, thy rich leas Of wheat, rye, barley, vetches, oats, and peas; Thy turfy mountains, where live nibbling sheep, And flat meads thatched with stover, them to keep; Thy banks with pionèd and twillèd brims,	You’re a sane, most blustery lady, your rich leas of wheat, rye, barley, vetches, oats, and peas; your turfy mountains
Now Margaret’s curse is fall'n upon our heads, When she exclaimed on Hastings, you, and I, For standing by when Richard stabbed her son.	Now Margaret’s curse has fallen on our heads when she exclaimed on Hastings, you, and I, for standing by when Richard stabbed her son.
No more but so?	No more than that?
Nay, come, I pray you, sir, give me the chain.	No, come, please, sir, give me the necklace.
But there’s a saying very old and true: “If that you will France win, Then with Scotland first begin.” For once the eagle England being in prey, To her unguarded nest the weasel Scot Comes sneaking and so sucks her princely eggs, Playing the mouse in absence of the cat, To ’tame and havoc more than she can eat.	But there’s a saying very old and true: “If you win France, then with Scotland first begin.” For once the eagle England being in prey, the weasel Scot comes sneaking and
What are thy comings in?	What are your comings?
Where is he?	Where is he?
Come, uncle Exeter, Go you and enter Harfleur.	Come, uncle Exeter, go and enter Harfleur.
That handkerchief thou speak’st of I found by fortune and did give my husband.	I found that handkerchief by fortune and gave my husband that handkerchief.
Mark Antony, here, take you Caesar’s body.	Mark Antony, take Caesar’s body here.
And yonder, Caesar.	And then, Caesar.
The orchard walls are high and hard to climb, And the place death, considering who thou art, If any of my kinsmen find thee here.	The orchard walls are high and hard to climb, and death is the place, considering who you are, if any of my relatives find you here.
This will so fright them both that they will kill one another by the look, like cockatrices.	This will scare them both so that they’ll kill each other by looking at them like cockatrices.
I warrant you, madam.	I’ll tell you, madam.
Most wonderful!	What a wonderful thing!
If all else fail, myself have power to die.	If everything else fails, I’ll have the power to die.
Marry, thou dost wrong me, thou dissembler, thou.	You’re wrong, you dissembler, you.
Let us take the law of our sides.	Let’s take the law of our sides.
But one, poor one, one poor and loving child, But one thing to rejoice and solace in, And cruel death hath catched it from my sight!	But one, one poor one, one poor and loving child, but one thing to rejoice and solace in, and cruel death has catched it out of my sight!
So full of shapes is fancy That it alone is high fantastical.	It’s so full of shapes that it’s fantastical.
Say, have I thy consent that they shall die?	Do you agree that they will die?
Hie you to church.	Go to the church.
Believe me, I am not.	Believe me, I am not.
I’ll read the writing.	I’ll read the story.
Now she holds me not.	Now she’s not holding me.
Here comes my lady.	Here comes my lady.
I would not change this hue Except to steal your thoughts, my gentle queen.	I wouldn’t change this color except to steal your thoughts, my gentle queen.
My news I might have told hereafter.	I could have told you my news later.
Now know you, Casca, I have moved already Some certain of the noblest-minded Romans To undergo with me an enterprise Of honorable-dangerous consequence.	Now know you, Casca, I’ve already moved some of the noblest Romans to take me to a dangerous and honorable event.
My resolution’s placed, and I have nothing Of woman in me.	I’ve been told to do my job, and I have nothing of a woman in me.
For, since the mortal and intestine jars 'Twixt thy seditious countrymen and us, It hath in solemn synods been decreed Both by the Syracusians and ourselves, To admit no traffic to our adverse towns.	Since the intestines and the mortals of your countrymen and us have been thrown out of the mud, both the Syracusians and ours have decreed to admit no traffic to our towns.
Was ever man so weary?	Was a man ever so tired?
He shall stay my leisure.	He’ll stay with me.
Dost thou call me fool, boy?	Are you calling me a fool, boy?
I do not know.	I don’t know.
How many gentlemen have you lost in this action?	How many gentlemen have you lost in this action?
I’ll catch it ere it come to ground.	I’ll catch it before it comes to ground.
No, sir, no jot.	No, sir, no jot.
A jealous hood, a jealous hood!	A jealous hood, a jealous hood!
Is all things ready for the royal time?	Is everything ready for the royal time?
Stay, Tybalt, stay!	Stay, Tybalt, stay!
Do as I bid thee, go.	Go, as I told you.
Let’s then determine with the ancient of war On our proceedings.	Let’s decide on our actions with the ancient of war.
With this, my lord, myself have naught to do.	I have a lot to do with this, my lord.
Have you any commission from your lord to negotiate with my face?	Have you ever asked your lord to negotiate with me?
He hath known you but three days, and already you are no stranger.	He has only known you for three days, and you’re already no stranger.
There are some shrewd contents in yond same paper That steals the color from Bassanio’s cheek.	There are some shrewd contents in the same paper that steals the color from Bassanio’s cheek.
Gone she is.	She’s gone.
In weightier things you’ll say a beggar nay.	You’ll say a beggar nay.
Tis two or three, my lord, that bring you word Macduff is fled to England.	It’s two or three, my lord, who bring you the word Macduff has fled to England.
O sinful thought!	Oh, what a sinful thought!
Well, well, thou hast a careful father, child.	Well, well, you have a careful father, child.
I could munch your good dry oats.	I could munch your good oats.
Come, come, you froward and unable worms!	Come on, you froward and unable worms!
I dare abide no longer.	I’m not going to do anything else.
I am a villain.	I’m a villain.
He’s coming, madam.	He’s coming, madam.
Twill bring you gain or perish on the seas.	You’ll gain or perish on the seas.
What’s the matter?	What’s the matter?
So, of his gentleness, Knowing I loved my books, he furnished me From mine own library with volumes that I prize above my dukedom.	So, because he knew I loved my books, he gave me a book from my own library with volumes that I’m a big prize over my dukedom.
Honest, ay, honest.	Yes, I’m honest.
Ill luck, ill luck?	Ill luck, ill luck?
Let her not walk i' th' sun.	Don’t let her walk in the sun.
Oh, fie upon thee, slanderer!	Oh, be merciful on you, slanderer!
And what say’st thou then to my love?	And what do you say to my love?
What is thy soul of adoration?	What is your soul of adoration?
Did you see Master Lorenzo?	Did you see Master Lorenzo?
I dare not, sir.	I don’t dare, sir.
And I am Brutus, Marcus Brutus, I!	And I am Brutus, Marcus Brutus, I!
Well then, it now appears you need my help.	Well then, it seems you’re getting my help.
Will you deny me now?	Will you deny me now?
Will you to Scone?	Will you go to Scone?
Thy husband in thy bosom there lies dead, And Paris too.	Your husband is dead in your house, and Paris too.
Therefore the winds, piping to us in vain, As in revenge, have sucked up from the sea Contagious fogs, which falling in the land Have every pelting river made so proud That they have overborne their continents.	So the winds, piping to us in vain, as well as in revenge, have sucked up from the sea, and the fogs that have fallen in the land have made every river so proud that they have overborne their
Yes, faith.	Yes, yes.
You English princes all, I do salute you.	You English princes, I salute you.
For certainly thou art so near the gulf Thou needs must be englutted.	You’re certainly so near the gulf that you have to be englutted.
Father, in.	Father, come in.
Worthy Montano, you were wont be civil.	You were worthy of Montano, you were not civil.
That shall be by and by.	That’s all.
A second Daniel!—A Daniel, Jew!	A second Daniel!—A Daniel, Jew!
Let them be hunted soundly.	Let them be hunted well.
Night’s candles are burnt out, and jocund day Stands tiptoe on the misty mountain tops.	Night’s candles are burned out, and day is a slut on the misty mountain tops.
You take your pennyworths now.	You’re taking your pennyworths now.
I have o'ershot myself to tell you of it.	I’ve o'ershot myself to tell you about it.
It is now high suppertime, and the night grows to waste.	It’s now high suppertime, and the night has turned into a waste.
Oh, well-a-day, Lady!	Oh, good-bye, Lady!
Before the eyes of both our armies here, Which should perceive nothing but love from us, Let us not wrangle.	Let’s not wrangle before the eyes of both our army here, who should see nothing but love from us.
Where is my father and my mother, Nurse?	Where are my father and my mother, Nurse?
God ye good morrow, gentlemen.	Good morning, gentlemen.
When they shall see The face of Caesar, they are vanishèd.	When they see Caesar’s face, they’re gone.
I long to know the truth hereof at large.	I’m eager to know the truth about this.
Untimely storms make men expect a dearth.	Storms make men expect a dearth.
Who could be out, being before his beloved mistress?	Who could be out, being in front of his beloved mistress?
Caesar, and that, having in Sicily Sextus Pompeius spoiled, we had not rated him His part o’ th’ isle.	Caesar, and since Sextus Pompeius was spoiled in Sicily, we had not rated him his part in the island.
But I do see you’re moved.	But I see you’re moving.
Come on.	Come on.
I am not Barbason; you cannot conjure me.	I’m not a barbason, you can’t conjure me.
And be not easily won to our requests.	And don’t be fooled to our demands.
Is not marriage honorable in a beggar?	Isn’t marriage honorable in a beggar?
O Charmian, I will never go from hence.	Oh Charmian, I’ll never go out of here.
So he served the second, and so the third.	He served the second, and the third.
O sir, you are too sure an augurer.	Oh, sir, you’re too sure you’re an augurer.
If he do fear God, he must necessarily keep peace.	If he fears God, he must always keep peace.
A pack of blessings light upon thy back, Happiness courts thee in her best array,	A pack of blessings is shining on your back, and Happiness is the best thing for you.
This note doth tell me of ten thousand French That in the field lie slain.	This note tells me about ten thousand French soldiers who were killed on the field.
As love is, my lord, before it loves.	As love is, my lord, before it loves.
While that the armèd hand doth fight abroad, Th' advisèd head defends itself at home.	While the armowed hand fights abroad, the advised head defends itself at home.
Oh, this false soul of Egypt!	Oh, this false soul of Egypt!
Not that we love words better, as you do.	Not that we love words better than you do.
Ha, ha, ha!	Ha, ha, ha!
Heaven keep the monster from Othello’s mind!	Heaven keep the monster from Othello’s mind!
Upon a lie seven times removed.—Bear your body more seeming, Audrey.—As thus, sir: I did dislike the cut of a certain courtier’s beard.	I was a bit upset with the cut of a courtier’s beard.
One that old Frederick, your father, loves.	One old Frederick, your father, loves.
Will you pleasure me?	Will you please me?
But lest myself be guilty to self wrong, I’ll stop mine ears against the mermaid’s song.	But if I’m guilty of self-destructiveness, I’ll stop my ears against the mermaid’s song.
Sleep a little.	Sleep a little.
Mass, and well said.	Well, and well said.
Dear lady, welcome home.	Hello, dear lady.
Now, by the faith of my love, I will.	Now I will, if I believe in my love.
Thanks, dear my lord.	Thanks, my dear lord.
Fathers commonly Do get their children.	Fathers get their children often.
On Thursday, sir?	On Thursday, sir?
So every bondman in his own hand bears The power to cancel his captivity.	So every bondman in his own hand has the power to cancel his captivity.
God will revenge it.	God will revenge it.
A lover is more condoling.	A lover is more angry.
Love?	Love?
I am his brother, and I love him well.	I am his brother, and I love him very much.
To the seaside straightway!	To the seaside right away!
I am glad of it.	I’m glad about it.
Know him?	Do you know him?
My life upon her faith!—Honest Iago, My Desdemona must I leave to thee.	I’ll leave my life on her faith!—Iago, my Desdemona must I leave to you.
The concavities of it is not sufficient, for, look you, th' athversary, you may discuss unto the duke, look you, is digt himself four yard under the countermines.	The concavities of it aren’t enough, because you can talk to the duke, you can talk to him, and he’s digging himself four yards under the countermines.
But thou art not quickly moved to strike.	But you’ve not been able to strike quickly.
I marvel our mild husband Not met us on the way.	I’m amazed our mild husband didn’t meet us on the way.
For we will fetters put upon this fear, Which now goes too free-footed.	We’ll scold this fear, which now goes too free-footed.
It shines everywhere.	It’s everywhere.
You are to blame, my lord, to rate her so.	You’re to blame for not telling her to.
He does.	He does.
This is the very painting of your fear.	This is the painting of your fear.
What kind of god art thou, that suffer’st more Of mortal griefs than do thy worshippers?	What kind of god are you, who suffer more of mortal grief than your worshippers?
O coward conscience, how dost thou afflict me!	Oh, coward conscience, how do you affect me?
God save the foundation!	God save the foundation!
God witness with me, I have wept for thine.	God witness, I’ve wept for you.
Oh, that I were a glove upon that hand That I might touch that cheek!	Oh, I wish I were a glove on that hand so I could touch that cheek!
This rudeness is a sauce to his good wit, Which gives men stomach to digest his words With better appetite.	This rudeness is a sauce to his good wit, which gives men stomach to digest his words with better appetite.
He was not born to shame.	He was not born to be shameful.
A pox o' your bottle!	A pox on your bottle!
I cannot tell what you and other men Think of this life, but, for my single self, I had as lief not be as live to be In awe of such a thing as I myself.	I can’t tell what you and other men think about this life, but I’d be as miserable as myself to be in awe of something like myself.
We all stand up against the spirit of Caesar, And in the spirit of men there is no blood.	We all stand up against the spirit of Caesar, and there is no blood in the spirit of men.
What says that fool of Hagar’s offspring, ha?	What does that fool of Hagar’s descendants say, ha?
So, This is to horse.	That’s what I’m saying.
If I live to see it, I will never trust his word after.	If I live to see it, I’ll never trust his word again.
Tubal, a wealthy Hebrew of my tribe, Will furnish me.	Tubal, a wealthy Hebrew of my tribe, will furnish me with a bed.
I will only be bold with Benedick for his company, for from the crown of his head to the sole of his foot he is all mirth.	I’ll only be bold with Benedick for his company, because he’s all a savage from the crown of his head to the sole of his foot.
There is no other way.	There’s no other way.
What, from myself?	What, from myself?
And you are come in very happy time To bear my greeting to the senators And tell them that I will not come today.	And you’re coming in very happy time to bear my greeting to the senators and tell them that I won’t come today.
Then never man was man true.	Then never was a man true.
And squabble?	And squabbling?
If we be not relieved within this hour, We must return to th’ court of guard.	If we’re not relieved within an hour, we’ll have to return to the guard’s court.
This was the noblest Roman of them all.	This was the noblest Roman of them all.
Hear me, for I will speak.	Listen to me, because I’ll speak.
Speak yet.	Tell me.
Nurse, will you go with me into my closet To help me sort such needful ornaments As you think fit to furnish me tomorrow?	Nurse, will you go with me into my closet to help me sort out the needy ornaments you think I’ll need tomorrow?
He says so, Tranio?	He says that, Tranio?
The general speaks to you.	The general speaks to you.
What is a traitor?	What is a traitor?
Sit i' th' middle.	Sit in the middle of the house.
It will make you melancholy, Monsieur Jaques.	It will make you mad, Monsieur Jaques.
Or be alive again, And dare me to the desert with thy sword.	Or be alive again, and dare me to the desert with your sword.
If what he might he is not, I would to heaven he were!	If he isn’t what he might be, I wish he were in heaven!
So turns she every man the wrong side out And never gives to truth and virtue that Which simpleness and merit purchaseth.	She turns every man out of the wrong side and never gives it to the truth and virtue that simpleness and merit are worth.
If I let him go, The debt he owes will be required of me.	If I let him go, I’ll have to pay him the debt.
Who’s there?	Who’s there?
I did not, gentle husband, lock thee forth.	I didn’t lock you out, husband.
Even so?	And so?
Oh, villain that I am!	Oh, I’m a villain!
My visor is Philemon’s roof; within the house is Jove.	My visor is the roof of Philemon, and inside the house is Jove.
I am not well.	I’m not well.
If I speak like myself in this, let him be whipped that first finds it so.	If I’m speaking like myself, let him be whipped, who first finds it.
To that end, As matching to his youth and vanity, I did present him with the Paris balls.	To that end, as he was matched to his youth and vanity, I presented him with the Paris balls.
Ay, there’s the villany.	Yes, there’s the villany.
Avoid, and leave him.	Leave him alone.
What you have said I will consider, what you have to say I will with patience hear, and find a time Both meet to hear and answer such high things.	I’ll consider what you’ve said, what you have to say, and find a time to meet and answer such high questions.
Had I your tongues and eyes, I’d use them so That heaven’s vault should crack.	If I had your tongues and eyes, I’d use them so that heaven’s vault would crack.
Therefore, have done.	So, have done it.
A braggart, a rogue, a villain that fights by the book of arithmetic!	A braggart, a rogue, a villain who fights by the book of arithmetic!
Bless thy five wits.	Give your five wits a hug.
As ’tis said, the bastard son of Gloucester.	As it’s said, the bastard son of Gloucester.
By my troth, Nerissa, my little body is aweary of this great world.	My little body is tired of this great world, Nerissa.
On their sustaining garments not a blemish, But fresher than before.	It’s not a blemish on their clothes, but a fresher one than before.
Twas I, but ’tis not I. I do not shame To tell you what I was, since my conversion So sweetly tastes, being the thing I am.	I was, but it’s not me.
Ay, leeks is good.	Yes, leeks are good.
The Mayor and all his brethren in best sort, Like to the senators of th' antique Rome, With the plebeians swarming at their heels, Go forth and fetch their conquering Caesar in— As, by a lower but loving likelihood,	The Mayor and all his brethren are in the best form, like the senators of Rome, with the plebeians swarming at their heels, and go forth and fetch their conquering Caesar in—like,
Ay, by my life, And never did desire to see thee more.	Yes, I’m still alive, and I never wanted to see you more.
So ’tis to thee.	That’s what’s going on to you.
Ay, sir, we are some of her trappings.	Yes, sir, we’re some of her trappings.
Not a whit.	Not a moment.
Nor send you out o' th' way?	Or send you out of your way?
Good thou, save me a piece of marchpane, and, as thou loves me, let the porter let in Susan Grindstone and Nell.—Antony and Potpan!	You, save me a piece of sand, and, as you love me, let the porter let in Susan Grindstone and Nell.—Antony and Potpan!
Good night.	Good night.
Get me ink and paper, And hire post horses.	Get me ink and paper, and hire horses to ride.
The duke is humorous.	The duke is funny.
Where will the old duke live?	Where will the old duke live?
O excellent young man!	Oh, a great young man!
Talk not to me.	Don’t talk to me.
You look angerly.	You look angry.
For those that mingle reason with your passion Must be content to think you old, and so— But she knows what she does.	For those who love to think about you must be content to think you’re old, and so— But she knows what she does.
You know my mind.	You know what I’m thinking.
Till that, I’ll view the manners of the town, Peruse the traders, gaze upon the buildings, And then return and sleep within mine inn, For with long travel I am stiff and weary.	I’ll go see the way the town is, see the traders, look at the buildings, and then return and sleep in my inn, because I’m tired and tired.
Tis done already, and the messenger gone.	It’s already done, and the messenger is gone.
I do not bid thee call.	I don’t want you to call me.
Methinks his words do from such passion fly, That he believes himself.	I think his words are so passionate that he believes himself.
So let it be with Caesar.	Let it be Caesar.
I weigh it lightly, were it heavier.	I would weigh it lightly, if it were heavier.
My mistress and her sister stays for you.	My mistress and her sister are waiting for you.
O upright, just, and true-disposing God, How do I thank thee that this carnal cur Preys on the issue of his mother’s body And makes her pew-fellow with others' moan!	Oh, upright, just, and true-to-be God, how do I thank you for the fact that this savage savage is a savage savage who treats his mother’s
There’s rosemary, that’s for remembrance.	There’s rosemary, that’s for remembrance.
Sister, content you in my discontent.— Sir, to your pleasure humbly I subscribe.	Sister, please, I’m content with my discontent.—Sir, I’m humbly subscribe to your pleasure.
The town sounds a parley.	The town is a parley.
That must we also.	That’s what we have to do.
Ah me!	Ah, me!
But come, I’ll tell thee all my whole device When I am in my coach, which stays for us At the park gate.	But come on, I’ll tell you my entire device when I’m in my coach, which stays for us at the gate.
But he has promised me, as he is a gentleman and a soldier, he will not hurt you.	But he has promised me that he won’t hurt you as a gentleman and a soldier.
Besides, they have burned and carried away all that was in the king’s tent, wherefore the king, most worthily, hath caused every soldier to cut his prisoner’s throat.	Besides, they’ve burned and carried away all that was in the king’s tent, so the king, most worthily, has caused every soldier to cut his prisoner’s throat.
What a strange drowsiness possesses them!	What a strange drowsiness they have!
Sweet Sir Toby, be patient for tonight.	Sweet Sir Toby, be patient tonight.
I’ll find Romeo To comfort you.	I’ll find Romeo to comfort you.
I wonder of their being here together.	I wonder how they’re here together.
Thou shalt be pinched As thick as honeycomb, each pinch more stinging Than bees that made 'em.	You’ll be as thick as honeycomb, and each one will be stingier than bees that made it.
Seigneur Martino and his wife and daughters; County Anselme and his beauteous sisters; The lady widow of Vitruvio; Seigneur Placentio and his lovely nieces; Mercutio and his brother Valentine; Mine uncle Capulet, his wife and daughters; My fair niece Rosaline and Livia;	Seigneur Martino and his wife and daughters; County Anselme and his beauteous sisters; the lady widow of Vitruvio; Seigneur Placentio and his lovely nieces; Mercuti
Rather approach’d too late!	I’d rather go to bed early than be late!
Your friends are up and buckle on their armor.	Your friends are up and buckle on their armor.
Love’s heralds should be thoughts, Which ten times faster glide than the sun’s beams, Driving back shadows over louring hills.	Love’s heroes should be thoughts, which glide ten times faster than sun’s beams, driving back shadows over louring hills.
Either my eyesight fails, or thou look’st pale.	Either my eyesight fails, or you look pale.
This is the place.	This is the place.
Whither am I going?	Where am I going?
Think, my lord?	Think, my lord?
I think you set nothing by a bloody coxcomb.	I think you’re not a bloody savage.
I know that we shall have him well to friend.	I know that we’ll have him to be a friend.
I remember The first time ever Caesar put it on.	I remember the first time Caesar put it on.
I was sure your lordship did not give it me.	I was sure your lord didn’t give it to me.
Was the crown offered him thrice?	Was the crown offered to him three times?
And for their sake, In your fair minds let this acceptance take.	And for their sake, let this acceptance take place in your fair minds.
I have made strong proof of my constancy, Giving myself a voluntary wound Here in the thigh.	I’ve made a strong proof of my perseverance, giving myself a voluntary wound in the thigh.
Husband, I’ll dine above with you today, And shrive you of a thousand idle pranks.	Husband, I’ll dine above with you today and shrive you of a thousand idle pranks.
Jailer, look to him.	Jailer, look at him.
For your coming in to dinner, sir, why, let it be as humours and conceits shall govern.	If you come in to dinner, sir, let it be as humours and conceits will govern.
But this rough magic I here abjure, and when I have required Some heavenly music, which even now I do, To work mine end upon their senses that This airy charm is for, I’ll break my staff, Bury it certain fathoms in the earth, And deeper than did ever plummet sound I’ll drown my book.	But I’ll break my staff, and I’ll drown my book deeper than ever.
How do you, Cassio?—Oh, a chair, a chair!	How are you, Cassio?—Oh, a chair, a chair!
But passion lends them power, time means, to meet, Tempering extremities with extreme sweet.	But passion gives them power, and time gives them the opportunity to meet, tying extremities with sweetness.
My royal cousin, teach you our princess English?	My royal cousin, do you teach our princess English?
The prince my brother hath outgrown me far.	My brother’s prince has outgrown me.
Take me up.	Take me up.
Regan, I think you are.	Regan, I think you are.
I would not spare my brother in this case If he should scorn me so apparently.	I wouldn’t spare my brother in this case if he would scorn me so a little.
Either my eyesight fails, or thou look’st pale.	Either my eyesight fails, or you look pale.
O you mighty gods,  This world I do renounce, and in your sights Shake patiently my great affliction off.	Oh, you mighty gods, I renounce this world, and in your eyes I’ll leave my great affliction.
In each thing give him way.	Give him the way to each other.
